asOfDate,wam
2003-07-09,3.46
2003-07-16,3.45
2003-07-23,3.44
2003-07-30,3.43
2003-08-06,3.43
2003-08-13,3.41
2003-08-20,3.48
2003-08-27,3.47
2003-09-03,3.47
2003-09-10,3.47
2003-09-17,3.46
2003-09-24,3.44
2003-10-01,3.45
2003-10-08,3.44
2003-10-15,3.43
2003-10-22,3.41
2003-10-29,3.4
2003-11-05,3.41
2003-11-12,3.39
2003-11-19,3.42
2003-11-26,3.41
2003-12-03,3.42
2003-12-10,3.41
2003-12-17,3.4
2003-12-24,3.38
2003-12-31,3.39
2004-01-07,3.38
2004-01-14,3.37
2004-01-21,3.35
2004-01-28,3.34
2004-02-04,3.35
2004-02-11,3.33
2004-02-18,3.35
2004-02-25,3.34
2004-03-03,3.35
2004-03-10,3.34
2004-03-17,3.33
2004-03-24,3.32
2004-03-31,3.33
2004-04-07,3.32
2004-04-14,3.31
2004-04-21,3.29
2004-04-28,3.27
2004-05-05,3.28
2004-05-12,3.27
2004-05-19,3.32
2004-05-26,3.31
2004-06-02,3.32
2004-06-09,3.3
2004-06-16,3.29
2004-06-23,3.28
2004-06-30,3.28
2004-07-07,3.26
2004-07-14,3.25
2004-07-21,3.23
2004-07-28,3.21
2004-08-04,3.22
2004-08-11,3.21
2004-08-18,3.25
2004-08-25,3.24
2004-09-01,3.25
2004-09-08,3.24
2004-09-15,3.23
2004-09-22,3.22
2004-09-29,3.21
2004-10-06,3.21
2004-10-13,3.2
2004-10-20,3.19
2004-10-27,3.18
2004-11-03,3.18
2004-11-10,3.18
2004-11-17,3.25
2004-11-24,3.23
2004-12-01,3.23
2004-12-08,3.21
2004-12-15,3.2
2004-12-22,3.19
2004-12-29,3.17
2005-01-05,3.18
2005-01-12,3.17
2005-01-19,3.16
2005-01-26,3.15
2005-02-02,3.23
2005-02-09,3.22
2005-02-16,3.24
2005-02-23,3.23
2005-03-02,3.24
2005-03-09,3.23
2005-03-16,3.22
2005-03-23,3.21
2005-03-30,3.19
2005-04-06,3.21
2005-04-13,3.19
2005-04-20,3.18
2005-04-27,3.17
2005-05-04,3.18
2005-05-11,3.17
2005-05-18,3.24
2005-05-25,3.22
2005-06-01,3.24
2005-06-08,3.23
2005-06-15,3.22
2005-06-22,3.21
2005-06-29,3.2
2005-07-06,3.21
2005-07-13,3.2
2005-07-20,3.18
2005-07-27,3.17
2005-08-03,3.18
2005-08-10,3.16
2005-08-17,3.19
2005-08-24,3.17
2005-08-31,3.18
2005-09-07,3.17
2005-09-14,3.16
2005-09-21,3.15
2005-09-28,3.13
2005-10-05,3.13
2005-10-12,3.12
2005-10-19,3.11
2005-10-26,3.09
2005-11-02,3.11
2005-11-09,3.1
2005-11-16,3.15
2005-11-23,3.14
2005-11-30,3.15
2005-12-07,3.14
2005-12-14,3.12
2005-12-21,3.11
2005-12-28,3.1
2006-01-04,3.11
2006-01-11,3.1
2006-01-18,3.09
2006-01-25,3.08
2006-02-01,3.13
2006-02-08,3.12
2006-02-15,3.15
2006-02-22,3.13
2006-03-01,3.17
2006-03-08,3.16
2006-03-15,3.16
2006-03-22,3.14
2006-03-29,3.13
2006-04-05,3.15
2006-04-12,3.14
2006-04-19,3.12
2006-04-26,3.11
2006-05-03,3.13
2006-05-10,3.12
2006-05-17,3.17
2006-05-24,3.15
2006-05-31,3.17
2006-06-07,3.17
2006-06-14,3.15
2006-06-21,3.14
2006-06-28,3.13
2006-07-05,3.15
2006-07-12,3.14
2006-07-19,3.16
2006-07-26,3.15
2006-08-02,3.2
2006-08-09,3.18
2006-08-16,3.26
2006-08-23,3.25
2006-08-30,3.23
2006-09-06,3.26
2006-09-13,3.25
2006-09-20,3.24
2006-09-27,3.23
2006-10-04,3.25
2006-10-11,3.24
2006-10-18,3.26
2006-10-25,3.24
2006-11-01,3.26
2006-11-08,3.25
2006-11-15,3.29
2006-11-22,3.28
2006-11-29,3.28
2006-12-06,3.31
2006-12-13,3.29
2006-12-20,3.29
2006-12-27,3.28
2007-01-03,3.3
2007-01-10,3.29
2007-01-17,3.31
2007-01-24,3.29
2007-01-31,3.33
2007-02-07,3.32
2007-02-14,3.31
2007-02-21,3.35
2007-02-28,3.37
2007-03-07,3.35
2007-03-14,3.34
2007-03-21,3.33
2007-03-28,3.32
2007-04-04,3.34
2007-04-11,3.34
2007-04-18,3.32
2007-04-25,3.3
2007-05-02,3.33
2007-05-09,3.32
2007-05-16,3.45
2007-05-23,3.44
2007-05-30,3.43
2007-06-06,3.45
2007-06-13,3.44
2007-06-20,3.43
2007-06-27,3.41
2007-07-03,3.43
2007-07-11,3.42
2007-07-18,3.41
2007-07-25,3.39
2007-08-01,3.44
2007-08-08,3.43
2007-08-15,3.7
2007-08-22,3.68
2007-08-29,3.69
2007-09-05,3.74
2007-09-12,3.72
2007-09-19,3.71
2007-09-26,3.7
2007-10-03,3.71
2007-10-10,3.7
2007-10-17,3.69
2007-10-24,3.68
2007-10-31,3.69
2007-11-07,3.68
2007-11-14,3.67
2007-11-21,3.84
2007-11-28,3.83
2007-12-05,3.85
2007-12-12,3.86
2007-12-19,3.87
2007-12-26,3.93
2008-01-02,4.02
2008-01-09,4.07
2008-01-16,4.09
2008-01-23,4.1
2008-01-30,4.11
2008-02-06,4.18
2008-02-13,4.16
2008-02-20,4.42
2008-02-27,4.41
2008-03-05,4.42
2008-03-12,4.46
2008-03-19,4.71
2008-03-26,5.0
2008-04-02,5.24
2008-04-09,5.37
2008-04-16,5.47
2008-04-23,5.45
2008-04-30,5.47
2008-05-07,5.51
2008-05-14,5.69
2008-05-21,6.14
2008-05-28,6.23
2008-06-04,6.3
2008-06-11,6.34
2008-06-18,6.37
2008-06-25,6.35
2008-07-02,6.37
2008-07-09,6.35
2008-07-16,6.33
2008-07-23,6.31
2008-07-30,6.29
2008-08-06,6.34
2008-08-13,6.32
2008-08-20,6.67
2008-08-27,6.65
2008-09-03,6.66
2008-09-10,6.64
2008-09-17,6.66
2008-09-24,6.68
2008-10-01,6.7
2008-10-08,6.68
2008-10-15,6.69
2008-10-22,6.67
2008-10-29,6.65
2008-11-05,6.65
2008-11-12,6.63
2008-11-19,6.83
2008-11-26,6.81
2008-12-03,6.82
2008-12-10,6.8
2008-12-17,6.8
2008-12-24,6.78
2008-12-31,6.8
2009-01-07,6.78
2009-01-14,6.76
2009-01-21,6.79
2009-01-28,6.77
2009-02-04,6.77
2009-02-11,6.75
2009-02-18,6.81
2009-02-25,6.8
2009-03-04,6.82
2009-03-11,6.8
2009-03-18,6.81
2009-03-25,6.79
2009-04-01,6.85
2009-04-08,6.79
2009-04-15,6.68
2009-04-22,6.68
2009-04-29,6.6
2009-05-06,6.66
2009-05-13,6.64
2009-05-20,6.85
2009-05-27,6.8
2009-06-03,6.77
2009-06-10,6.69
2009-06-17,6.68
2009-06-24,6.66
2009-07-01,6.74
2009-07-08,6.73
2009-07-15,6.66
2009-07-22,6.64
2009-07-29,6.69
2009-08-05,6.69
2009-08-12,6.68
2009-08-19,6.81
2009-08-26,6.77
2009-09-02,6.8
2009-09-09,6.78
2009-09-16,6.78
2009-09-23,6.74
2009-09-30,6.71
2009-10-07,6.69
2009-10-14,6.69
2009-10-21,6.67
2009-10-28,6.68
2009-11-04,6.67
2009-11-11,6.66
2009-11-18,6.77
2009-11-25,6.76
2009-12-02,6.76
2009-12-09,6.74
2009-12-16,6.72
2009-12-23,6.71
2009-12-30,6.69
2010-01-06,6.69
2010-01-13,6.67
2010-01-20,6.69
2010-01-27,6.67
2010-02-03,6.66
2010-02-10,6.64
2010-02-17,6.75
2010-02-24,6.73
2010-03-03,6.73
2010-03-10,6.71
2010-03-17,6.7
2010-03-24,6.68
2010-03-31,6.69
2010-04-07,6.67
2010-04-14,6.65
2010-04-21,6.7
2010-04-28,6.68
2010-05-05,6.68
2010-05-12,6.66
2010-05-19,6.74
2010-05-26,6.72
2010-06-02,6.71
2010-06-09,6.7
2010-06-16,6.68
2010-06-23,6.66
2010-06-30,6.66
2010-07-07,6.64
2010-07-14,6.63
2010-07-21,6.61
2010-07-28,6.59
2010-08-04,6.59
2010-08-11,6.57
2010-08-18,6.61
2010-08-25,6.58
2010-09-01,6.6
2010-09-08,6.57
2010-09-15,6.56
2010-09-22,6.52
2010-09-29,6.49
